Name,Price ($),Cores,Score,Thread Mark,TDP,Socket,Power Efficiency (Score/W),Price Efficiency (Score/$),Average Efficiency,URL,Power Efficiency (FPS/W)
Intel Core i7-7700 @ 3.60GHz,59.99,4,8646,2454,65,LGA1151,133.0154,144.1240,138.5697,https://www.ebay.com/itm/Intel-Core-i7-7700-3-60-GHz-SR338-Processor-CPU-Desktop-/305687508909,133.0154
AMD Ryzen 5 PRO 2400G,29.75,4,8496,2153,65,AM4,130.7077,285.5798,208.1437,https://www.ebay.com/itm/RYZEN-5-PRO-2400G-CPU-/116235212187,130.7077
Intel Core i5-9400T @ 1.80GHz,249.99,6,8371,2117,35,FCLGA1151-2,239.1714,33.4853,136.3284,https://www.ebay.com/itm/LENOVO-IDEACENTRE-A540-27ICB-i5-9400T-1-80GHz-8GB-RAM-256GB-SSD-WIN-10P-READ-/335448225378,239.1714
AMD Ryzen 5 PRO 3400GE,50.00,4,8286,2242,35,AM4,236.7429,165.7200,201.2314,https://www.ebay.com/itm/AMD-Ryzen-5-PRO-3400GE-3-30GHz-AM4-Quad-Core-/395476457514,236.7429
Intel Core i5-9500T @ 2.20GHz,39.84,6,8210,2168,35,FCLGA1151-2,234.5714,206.0743,220.3229,https://www.ebay.com/itm/Intel-Core-i5-9500T-2-20GHz-SRF4D-6-Core-CPU-/226245465874,234.5714
AMD Ryzen 5 1400,23.00,4,7752,1895,65,AM4,119.2615,337.0435,228.1525,https://www.ebay.com/itm/AMD-CPU-RYZEN-5-1400-3-2GHZ-Socket-AM4-/176477835678,119.2615
Intel Core i5-8500T @ 2.10GHz,39.95,6,7736,2017,35,FCLGA1151-2,221.0286,193.6421,207.3354,https://www.ebay.com/itm/Intel-Core-i5-8500T-2-10GHz-SR3XD-Processor-Socket-1151-SIX-Core-CPU-/176458430437,221.0286
AMD Athlon Gold PRO 3150G,10000000,4,7702,2321,65,AM4,118.4923,0.0008,59.2465,,118.4923
Intel Core i3-9350K @ 4.00GHz,68.80,4,7700,2783,91,FCLGA1151,84.6154,111.9186,98.2670,https://www.ebay.com/itm/Intel-Core-i3-9350K-4-Core-4-threads-91W-8MB-4-00GHz-LGA-1151-CPU-processor-/395549447410,84.6154
AMD Ryzen 5 PRO 2400GE,28.00,4,7656,2122,35,AM4,218.7429,273.4286,246.0858,https://www.ebay.com/itm/AMD-Ryzen-5-Pro-2400GE-3-2Ghz-CPU-/266793086689,218.7429
Intel Core i7-7700T @ 2.90GHz,59.95,4,7617,2152,35,FCLGA1151,217.6286,127.0559,172.3423,https://www.ebay.com/itm/Intel-Desktop-CPU-2-90GHz-Core-i7-7700T-Socket-FCLGA1151-SR339-/145879415706,217.6286
AMD Ryzen 3 2300X,199.00,4,7563,2357,65,AM4,116.3538,38.0050,77.1794,https://www.ebay.com/itm/CyberPowerPC-AMD-Ryzen-3-2300X-3-50-GHz-1-TB-HDD-240-GB-SSD-8-GB-RAM-Gaming-PC-/386531343396,116.3538
Intel Core i3-9350KF @ 4.00GHz,66.00,4,7549,2668,91,FCLGA1151-2,82.956,114.3788,98.6674,https://www.ebay.com/itm/Intel-Core-I3-9350KF-LGA1151-SRF7V-4-00GHZ-quad-core-91W-Cup-core-CPU-processor-/404975299800,82.9560
AMD Ryzen 5 2400GE,29.93,4,7521,2100,35,AM4,214.8857,251.2863,233.0860,https://www.ebay.com/itm/AMD-Ryzen-5-Pro-2400GE-3-2GHz-Quad-Core-CPU-AM4-YD240BC6M4MFB-/226111605987,214.8857
Intel Core i5-8400T @ 1.70GHz,35.00,6,7425,1917,35,FCLGA1151-2,212.1429,212.1429,212.1429,https://www.ebay.com/itm/Intel-Core-i5-8400T-6-Core-1-70GHz-SR3X6-FREE-SHIPPING-/296121002923,212.1429
Intel Core i3-9320 @ 3.70GHz,10000000,4,7358,2711,62,FCLGA1151-2,118.6774,0.0007,59.3391,,118.6774
AMD Ryzen 3 3200GE,149.99,4,7309,2206,35,AM4,208.8286,48.7299,128.7792,https://www.ebay.com/itm/YD3200C6M4MFH-Processor-AMD-Ryzen-3-3200GE-IdeaCentre-A540-24API-All-i-/135110760018,208.8286
AMD Ryzen 3 PRO 1300,64.99,4,7234,2187,65,AM4,111.2923,111.3094,111.3008,https://www.ebay.com/itm/Dell-OptiPlex-5055-SFF-AMD-Ryzen-3-PRO-1300-8GB-No-COA-Caddy-HDD-/266877508233,111.2923
