Module,Score,Price ($),Price Efficiency (Score/$),URL
A-DATA Technology AX5U5200C3816G-BLABK 16GB,31888,,,
Transcend Information JM4800ALE-16G 16GB,31873,,,
A-DATA Technology AX5U6400C3232G-BLARWH 32GB,31867,,,
Kingston KVR48U40BS8-16 16GB,31856,,,
Acer BL.9BWWR.350 16GB,31774,,,
Crucial Technology CP16G56C46U5.M8D1 16GB,31769,,,
Patriot Memory (PDP Systems) 8200 C38 Series 24GB,31695,,,
Corsair CMK64GX5M2B5600Z40 32GB,31683,,,
Golden Empire CL40-48-48 D5-6000 24GB,31681,,,
Corsair CMH64GX5M2B5600Z40 32GB,31662,,,
Crucial Technology CT16G56C46S5.M8D1 16GB,31660,,,
G Skill Intl F5-5200J4040A16G 16GB,31635,,,
Patriot Memory (PDP Systems) 5600 C40 Series 8GB,31580,,,
A-DATA Technology AX5U5600C3616G-DCLARBK 16GB,31513,,,
Crucial Technology CT16G52C42U5.M8G1 16GB,31462,,,
Essencore Limited KD5AGUA80-56G4600 16GB,31457,,,
Crucial Technology CT16G56C46S5.M8G1 16GB,31407,,,
Corsair CMT32GX5M2B5600Z36 16GB,31395,,,
Corsair CMH5X16G1B56C36A2 16GB,31380,,,
Corsair CMT32GX5M2X6400C38 16GB,31356,,,
Essencore Limited KD5AGUA80-60A300G 16GB,31255,,,
G Skill Intl F5-6000J3636F16G 16GB,31219,,,
Kingston KF560C32-48 48GB,31188,,,
A-DATA Technology AX5U6000C3616G-BLABK 16GB,31133,,,
A-DATA Technology AX5U5600C3616G-B 16GB,31100,,,
G Skill Intl F5-5600J4040D48G 48GB,31087,,,
A-DATA Technology AX5U6000C4016G-BLABK 16GB,31024,,,
Corsair CMK5X16G1E60C36A2 16GB,31022,,,
G Skill Intl F5-6400J3239F24G 24GB,30976,,,
Corsair CMK5X16G1B60Z40A2 16GB,30950,,,
Essencore Limited KD5AGUA80-76B360G 16GB,30903,,,
A-DATA Technology AD5S56008G-B 8GB,30878,,,
Kingston KF560C30-16 16GB,30864,,,
Corsair CMK32GX5M2B5600Z40 16GB,30844,,,
G Skill Intl F5-5600S4645A32G 32GB,30782,,,
Kingston KF556C36-8 8GB,30778,,,
Patriot Memory (PDP Systems) 5200 C40 Series 32GB,30773,,,
A-DATA Technology AX5U5200C3816G-CLARBK 16GB,30750,,,
Lexar Co Limited LD5EU016G-6400LA 16GB,30695,,,
Corsair CMK128GX5M4B5600C40 32GB,30611,,,
G Skill Intl F5-5600J2834F16G 16GB,30554,,,
Corsair CMK96GX5M4B6000C30 24GB,30547,,,
Golden Empire CL34-45-45 D5-7200 16GB,30532,,,
A-DATA Technology AX5U6400C3232G-BLARBK 32GB,30529,,,
Kingston KF560C36-32 32GB,30516,,,
Patriot Memory (PDP Systems) 6000 C42 Series 24GB,30503,,,
Acer BL.9BWWR.366 16GB,30472,,,
A-DATA Technology AX5U6000C3032G-DCLARBK 32GB,30382,,,
Kingston KF560C36-16 16GB,30307,,,
A-DATA Technology AD5U56008G-B 8GB,30300,,,
Patriot Memory (PDP Systems) 6000 C36 Series 16GB,30273,,,
Corsair CMK32GX5M2X6600C32 16GB,30257,,,
A-DATA Technology AX5U6400C3216G-BLARWH 16GB,30231,,,
Patriot Memory (PDP Systems) 7000 C38 Series 16GB,30188,,,
Patriot Memory (PDP Systems) PSD58G56002 16GB,30178,,,
Kingston KF552C36-16 16GB,30049,,,
A-DATA Technology AX5U6400C4016G-DCCARGY 16GB,30031,,,
Corsair CMK5X32G2B52C40A2 32GB,29955,,,
A-DATA Technology AX5U5200C388G-DCLABK 8GB,29943,,,
A-DATA Technology AX5U6000C3016G-BLABBK 16GB,29943,,,
Micron Technology MTC8C1084S1UC48BA1 BF 16GB,29927,,,
Corsair CMK32GX5M2B6800C40 16GB,29902,,,
G Skill Intl F5-5200S3838A16G 16GB,29894,,,
Corsair CMK5X32G2B52Z40A2 32GB,29864,,,
Corsair CMT32GX5M2E6000C36 16GB,29855,,,
Kingston KF564C32-32 32GB,29827,,,
Patriot Memory (PDP Systems) PSD532G56002S 32GB,29815,,,
Corsair CMK32GX5M1B5600C40 32GB,29813,,,
SanMax Technologies Inc. SMD5-U32G88HA-56BB 32GB,29709,,,
"PNY Technologies, Inc. 16GP1X1660HHH76-13-K 16GB",29630,,,
A-DATA Technology AX5U5600C4616G-BLABBK 16GB,29616,,,
Corsair CMH32GX5M2E6200C36 16GB,29557,,,
Kingston 9905783-047.A01G 16GB,29507,,,
Kingston 9965794-016.A00G 32GB,29435,,,
Corsair CMH32GX5M2B6200C36 16GB,29418,,,
Micron Technology MTC16C2085S1UC48BA1 32GB,29407,,,
A-DATA Technology AX5U6000C3016G-BLABWH 16GB,29331,,,
Kingston KF552C40-32 32GB,29324,,,
G Skill Intl F5-6000J3040F16G 16GB,29315,,,
Kingston KF560C30-32 32GB,29303,,,
A-DATA Technology AX5U6000C3016G-BLABRWH 16GB,29265,,,
Patriot Memory (PDP Systems) 5600 C36 Series 16GB,29061,,,
Crucial Technology CT24G56C46S5.M8B1 24GB,29018,,,
