Card,Price ($),FPS,VRAM (GB),TDP,Power Efficiency (FPS/W),Price Efficiency (FPS/$),Average Efficiency,URL
GeForce GTX 1660 Ti,95.00,46.6,6,120,0.3883,0.4905,0.4394,https://www.ebay.com/itm/Gigabyte-GeForce-GTX-1660-Ti-OC-6GB-GDDR6-PCI-E-x16-Graphics-Card-HDMI-3x-DP-/285841164092
GeForce GTX 980 Ti,69.99,35.9,6,250,0.1436,0.5129,0.3283,https://www.ebay.com/itm/EVGA-GeForce-GTX-980-TI-FTW-6GB-GDDR5-PCIe-3-0-x-16-Dual-Slot-GPU-06G-P4-4996-KR-/315487476037
Radeon RX 6500 XT,59.99,30.6,4,107,0.2860,0.5101,0.3981,https://www.ebay.com/itm/PowerColor-AMD-Radeon-RX-6500-XT-Graphics-Card-4GB-GDDR6-AXRX-6500XT-4GBD6-3DH-/325836947251
GeForce RTX 2070,139.99,69.8,8,175,0.3989,0.4986,0.4487,https://www.ebay.com/itm/Dell-NVIDIA-GeForce-RTX-2070-8GB-GDDR6-Graphics-Video-Card-DP-N-JK88G-/166881019064
Radeon RX 6600 XT,149.99,74.7,8,160,0.4669,0.4980,0.4824,https://www.ebay.com/itm/Dell-Radeon-RX-6600-XT-8GB-8G-128-bit-GDDR6-PCI-E-4-0-AMD-Video-Card-/166881017070
GeForce RTX 2070 Super,149.99,77.4,8,215,0.3600,0.5160,0.4380,https://www.ebay.com/itm/EVGA-NVIDIA-GeForce-RTX-2070-Black-Gaming-8GB-GDDR6-Graphics-Card-/296589649939
GeForce RTX 2080 Ti,199.95,96.3,11,250,0.3852,0.4816,0.4334,https://www.ebay.com/itm/PNY-RTX-2080ti-11Gb-GDDR6-Blower-Edition-GPU-Needs-Repair-/196511515157
GeForce GTX 1080 Ti,99.97,66.4,11,250,0.2656,0.6642,0.4649,https://www.ebay.com/itm/Gigabyte-GeForce-GTX-1080-Ti-11GB-Turbo-Graphics-Card-GPU-B19-No-Display-/156321790763
Intel Arc A750,159.00,70.8,8,225,0.3147,0.4453,0.3800,https://www.ebay.com/itm/Intel-Arc-A750-Limited-Edition-8GB-GDDR6-Graphics-Card-/226253938271
Radeon R9 Fury X,75.00,35.2,4,275,0.1280,0.4693,0.2986,https://www.ebay.com/itm/Gigabyte-AMD-Radeon-R9-Fury-4GB-GV-R9FURYWF3OC-4GD-/395481723758
Radeon RX 6600,139.97,65.2,8,132,0.4939,0.4658,0.4798,https://www.ebay.com/itm/ASRock-Radeon-RX-6600-Challenger-8GB-GDDR6-Video-Card-RX6600-CLD-8G-/145616555340
GeForce RTX 3060 Ti,205.00,90.7,8,200,0.4535,0.4424,0.4480,https://www.ebay.com/itm/EVGA-GeForce-RTX-3060-Ti-FTW3-ULTRA-GAMING-8GB-GDDR6-Graphics-Card-/145911602159
GeForce GTX 1650 Super,75.00,33.9,4,100,0.3390,0.4520,0.3955,https://www.ebay.com/itm/HP-nVidia-GeForce-GTX-1650-GTX1650-Super-4GB-GDDR6-PCIe-x16-TPC-F003G-L8381-/186412663220
Radeon RX 6700 XT,225.00,99.1,12,230,0.4309,0.4404,0.4356,https://www.ebay.com/itm/RX-6700-XT-12GB-GDDR6-Graphics-Card-/326057309160
GeForce RTX 2060,120.00,55.5,6,160,0.3469,0.4625,0.4047,https://www.ebay.com/itm/ASUS-Phoenix-GeForce-RTX-2060-6GB-VRAM-192bit-GDDR6-OC-Single-Fan-VR-Ready-/176481940779
GeForce GTX 1650 GDDR6,74.99,28.8,4,75,0.3840,0.3841,0.3841,https://www.ebay.com/itm/MSI-GeForce-GTX-1650-GPU-4GB-/326211374871
GeForce GTX 1050 Ti,50.00,19.8,4,75,0.2640,0.3960,0.3300,https://www.ebay.com/itm/ASUS-NVIDIA-GeForce-GTX-1050-TI-STRIX-OC-Gaming-4gb-Gddr5-/186581717854
GeForce RTX 2080,179.99,82.5,8,215,0.3837,0.4584,0.4210,https://www.ebay.com/itm/MSI-Gaming-GeForce-RTX-2080-8GB-GDRR6-256-bit-VR-Ready-Graphics-Card-RTX-208-/116265948446
Radeon RX 5500 XT 8GB,92.99,39.7,8,130,0.3054,0.4269,0.3661,https://www.ebay.com/itm/AISURIX-Radeon-RX-5500-XT-8GB-8G-128-bit-GDDR6-PCI-E-4-0-AMD-Video-Card-/276459797604
Radeon RX 7600,200.00,82,8,165,0.4970,0.4100,0.4535,https://www.ebay.com/itm/XFX-Speedster-SWFT-210-AMD-Radeon-RX-7600-Core-Gaming-8GB-GDDR6-Graphics-Card-/364907905634
Radeon RX 6650 XT,195.00,77.7,8,180,0.4317,0.3985,0.4151,https://www.ebay.com/itm/MSI-Radeon-RX-6650-XT-MECH-2X-8G-OC-8GB-GDDR6-Graphics-Card-V502-064R-/395543453990
GeForce RTX 3070,249.99,98.8,8,220,0.4491,0.3952,0.4222,https://www.ebay.com/itm/NVIDIA-GeForce-RTX-3070-8GB-GDDR6-Graphics-Card-Blower-Note-Loud-Fans-/266915162631
Radeon RX 560 4GB,38.99,14.7,4,70,0.2100,0.3770,0.2935,https://www.ebay.com/itm/ASUS-Radeon-RX-560-2GB-GDDR5-Graphics-Card-RX560-02G-/166760172841
Radeon VII,185.00,69.5,16,300,0.2317,0.3757,0.3037,https://www.ebay.com/itm/AMD-Radeon-Instinct-Mi50-Accelerator-16GB-HBM2-Radeon-VII-/335459926086
GeForce RTX 3060,185.00,72.3,12,170,0.4253,0.3908,0.4081,https://www.ebay.com/itm/MSI-NVIDIA-GeForce-RTX-3060-VENTUS-2X-OC-12-GB-GDDR6-Graphics-Card-/135162966303
GeForce RTX 3050,149.99,51.9,8,130,0.3992,0.3460,0.3726,https://www.ebay.com/itm/GIGABYTE-Nvidia-GeForce-RTX-3050-OC-8GB-GDDR6-Graphics-Card-GPU-Video-Card-/326108042483
Radeon RX 5500 XT 4GB,100.00,33.3,4,130,0.2562,0.3330,0.2946,https://www.ebay.com/itm/ASRock-AMD-Radeon-RX-5500-XT-4GB-GDDR6-Graphics-Card-/395521950443
Intel Arc A770 8GB,228.16,75.3,8,225,0.3347,0.3300,0.3324,https://www.ebay.com/itm/ASRock-Arc-A770-Phantom-D-8GB-OC-Graphics-Card-A770-PGD-8GO-Good-Condition-/305593619146
Intel Arc A770 16GB,219.99,76.9,16,225,0.3418,0.3496,0.3457,https://www.ebay.com/itm/ASRock-Challenger-Arc-A770-16GB-GDDR6-PCI-Express-4-0-/405122963357
GeForce RTX 4060,259.99,84.9,8,115,0.7383,0.3266,0.5324,https://www.ebay.com/itm/PNY-GeForce-RTX-4060-VERTO-Dual-Fan-8GB-GDDR6-Graphics-Card-Used-/387083021729
Radeon RX 7600 XT,299.99,91.9,16,190,0.4837,0.3063,0.3950,https://www.ebay.com/itm/ASRock-Challenger-Radeon-RX-7600-XT-16GB-GDDR6-PCIe-4-0-x8-ATX-Graphics-Card-GPU-/296235135892
Radeon RX 6700 10GB,383.47,86.1,10,175,0.4920,0.2245,0.3583,https://www.ebay.com/itm/SAPPHIRE-PULSE-Radeon-RX-6700-10GB-GDDR6-PCI-Express-4-0-ATX-Video-Card-/166569543802
Radeon RX 6400,104.95,24.1,4,53,0.4547,0.2296,0.3422,https://www.ebay.com/itm/AMD-RX-6400-4GB-OEM-HP-Graphics-Card-GPU-/196522962764
Intel Arc A380,139.88,28.4,6,75,0.3787,0.2030,0.2908,https://www.ebay.com/itm/Gunnir-Intel-Arc-A380-Index-6G-Dual-Fan-Graphics-Card-/126190685800
GeForce GTX 1630,129.99,16.9,4,75,0.2253,0.1300,0.1777,https://www.ebay.com/itm/Factory-Refurbished-GIGABYTE-GTX-1630-4GB-GV-N1630OC-4GL-Video-Card-/404961907347
Titan RTX,"1,029.00",99.3,24,280,0.3546,0.0965,0.2256,https://www.ebay.com/itm/MSI-GT76-Titan-DT-9SG-I9-9900k-/387151296586
Intel Arc A580,"123,456.00",65.1,8,185,0.3519,0.0005,0.1762,https://www.ebay.com/itm/Sparkle-Technology-Intel-Arc-A580-ORC-OC-Edition-8-GB-GDDR6-1A1-S00401400G-/176448666419
